Monthly Data,ESR,ESR_Latent Y,USR,USR_Latent Y,EIF,ERECB,EFX,EDY,ESP,UIF,URR,UDY,UOIL
1/31/1985,0.0559,1,0.069,1,0.0209,1.6094,0.0025,1.1663,2.206,0.0396,2.1668,1.4951,0.021
2/28/1985,0.0331,1,0.0066,1,0.0235,1.6582,0.0556,1.1474,2.374,0.0347,2.1679,1.4929,0.0094
3/31/1985,-0.0027,0,-0.0089,0,0.0249,1.6582,-0.0813,1.1474,2.142,0.0354,2.1494,1.5041,0.0582
4/30/1985,0.0226,1,-0.0057,0,0.025,1.6582,0.0049,1.1569,2.023,0.0372,2.1494,1.5173,-0.0269
5/31/1985,0.0424,1,0.0504,1,0.0236,1.6582,-0.0127,1.1282,1.856,0.0352,2.0334,1.4679,0.0108
6/30/1985,0.0263,1,0.0116,1,0.0193,1.6582,-0.0099,1.1019,1.753,0.0351,2.0732,1.4563,-0.0347
7/31/1985,-0.0183,0,-0.0111,0,0.0207,1.6582,-0.0788,1.1474,1.59,0.036,2.1529,1.4633,0.0093
8/31/1985,0.0422,1,-0.0161,0,0.0208,1.5581,0.0041,1.1151,1.655,0.034,2.0541,1.477,0.0362
9/30/1985,0.0278,1,-0.0429,0,0.0208,1.5581,-0.0481,1.0986,1.596,0.033,2.1793,1.5195,0.0325
10/31/1985,0.0808,1,0.0392,1,0.0153,1.5581,-0.0227,1.0296,1.908,0.032,2.0894,1.4839,0.0437
11/30/1985,0.0208,1,0.0627,1,0.0152,1.5581,-0.0415,1.0043,1.789,0.0318,2.1448,1.4159,-0.0203
12/31/1985,0.09,1,0.0639,1,0.0151,1.5581,-0.0264,0.9322,1.55,0.0345,2.5997,1.3686,-0.1126
1/31/1986,0.0002,1,0.0049,1,0.0136,1.5581,-0.0244,0.9555,1.554,0.0372,2.0906,1.3686,-0.3391
2/28/1986,0.0533,1,0.0644,1,0.0082,1.5581,-0.0681,0.9163,1.125,0.039,2.0732,1.3056,-0.3503
3/31/1986,0.0964,1,0.0473,1,0.0014,1.5041,0.042,0.802,1.048,0.0315,2.0042,1.2556,-0.1448
4/30/1986,0.0506,1,-0.0169,0,0,1.5041,-0.0719,0.7885,0.887,0.0213,1.953,1.2726,0.1486
5/31/1986,-0.0563,0,0.0415,1,0,1.5041,0.0713,0.8587,1.461,0.0158,1.9228,1.2296,0.072
6/30/1986,-0.0368,0,0.0119,1,0,1.5041,-0.0548,0.9002,1.248,0.0167,2.0438,1.2149,-0.1256
7/31/1986,0.0172,1,-0.0593,0,-0.0028,1.5041,-0.0501,0.9083,1.227,0.0175,1.8485,1.2754,-0.1293
8/31/1986,0.1071,1,0.0613,1,-0.0042,1.5041,-0.0281,0.8154,1.031,0.0166,1.7527,1.209,0.354
9/30/1986,-0.0625,0,-0.094,0,-0.0042,1.5041,-0.0041,0.8796,1.537,0.0156,1.9315,1.3029,-0.0751
10/31/1986,0.0179,1,0.0477,1,-0.0068,1.5041,0.0165,0.8629,1.632,0.0174,1.78,1.2585,0.0268
11/30/1986,0.0094,1,0.0175,1,-0.0096,1.5041,-0.0436,0.8587,1.408,0.0155,1.7967,1.2499,-0.01
12/31/1986,-0.0082,0,-0.0305,0,-0.0094,1.5041,-0.0254,0.8629,1.453,0.0128,2.6637,1.2837,0.1655
1/31/1987,-0.0299,0,0.1201,1,-0.0082,1.3863,-0.0482,0.9083,1.964,0.0118,1.8374,1.1663,0.0576
